Date,SPY,QQQ,EFA,EEM,TLT,LQD,GLD,DBC
2015-02-28,0.05620441708279511,0.07220597375750182,0.06337789775836056,0.04408003095154345,-0.06138326192433574,-0.01420360839549506,-0.05905219494812319,0.044252851730006926
2015-03-31,-0.0157054927659519,-0.0235896859885375,-0.014285627213674212,-0.014972727625719662,0.010921766689915291,0.0019506071488188947,-0.021522037888980217,-0.060539277631026955
2015-04-30,0.009834045142850023,0.019223412732509493,0.03646554204979924,0.06852728549835096,-0.03425198019372433,-0.011871896726168951,-0.0016716737223684275,0.0714702882217868
2015-05-31,0.012856126163568682,0.022484422174001262,0.0019546958168896733,-0.041045068048480404,-0.023724286799255978,-0.011202736764601484,0.005552104050766671,-0.03171130319392512
2015-06-30,-0.020312107496454068,-0.024840784042540642,-0.031182416921744727,-0.029308376134055902,-0.04072018523873555,-0.01883195185690978,-0.015162101232906178,0.01637495355099694
2015-07-31,0.022589107763450356,0.04557780067784978,0.020318204619672597,-0.06309934392068817,0.04545982627167788,0.008319912504206606,-0.06620986259282224,-0.12611112757887544
2015-08-31,-0.060950234844320716,-0.06824505602519126,-0.07425118993596014,-0.08836216450639955,-0.006894370422516172,-0.008274813313486784,0.03707232801234017,-0.0025430390097823663
2015-09-30,-0.025516004478626342,-0.022072728552375076,-0.04418891025993299,-0.03132407977578622,0.019668218342519195,0.011898458193140726,-0.01801138660144541,-0.034416756996107134
2015-10-31,0.0850598819349353,0.11369891302215951,0.06612005877526639,0.06375854378471613,-0.004087705300798272,0.0057363123919520476,0.022833636790845047,0.003300383848505506
2015-11-30,0.003655244523722345,0.0060882723073703016,-0.007527447035076462,-0.025236690913220117,-0.00867710575040026,-0.0015422354213370237,-0.06752062833262484,-0.06644746875390772
2015-12-31,-0.017282689557982067,-0.015947660074604575,-0.023318819730304474,-0.038198189359127444,-0.002971522460644249,-0.010810510725376976,-0.004513334897339294,-0.058491850996139516
2016-01-31,-0.04978652252779481,-0.06910450841783611,-0.05517707703170449,-0.05032639204831246,0.05573024430693452,0.0012282345639689218,0.05410997351969926,-0.04341307127139338
2016-02-29,-0.0008261112443531671,-0.01565331355527433,-0.03334534261112854,-0.008177799114865825,0.030859863689141953,0.010517575715315086,0.10930343875618398,-0.0023474911871989024
2016-03-31,0.0672659132883382,0.06852588222468947,0.06582136527483984,0.1296175595476552,-0.00093351508512729,0.036145259261031404,-0.008428860461434318,0.04235302902446847
2016-04-30,0.003941147815603729,-0.031867877036109826,0.02221834897805941,0.004087326269766045,-0.007365106904974161,0.015545816807095436,0.051088083708025867,0.09706543899586295
2016-05-31,0.01701167055877284,0.04370039135199644,-0.0008559373677134996,-0.03692918780270393,0.008054630851265232,-0.005124473827965437,-0.06138296703293311,0.008916267164462255
2016-06-30,0.003475837582809227,-0.022780499250127706,-0.024193871868290473,0.04559106155101866,0.06934184374546115,0.030942998933791266,0.08969501879279118,0.04350785096610954
2016-07-31,0.03647121197869008,0.07150827616707334,0.03977060179180758,0.05384152275474352,0.021024772639432587,0.012915449155607828,0.01984656031160892,-0.06970698774774375
2016-08-31,0.001197713182138349,0.010500896934613646,0.0053412238759686925,0.008837214213335498,-0.010134768344444711,0.0018034162117221975,-0.03256316550912575,0.007703191756762484
2016-09-30,5.8178270251341146e-05,0.022135507272275756,0.013367567329384933,0.0251850726021301,-0.015083560244563476,-0.0031559756367453007,0.006892135107908315,0.04308551938708849
2016-10-31,-0.017337269559265955,-0.01457216171936726,-0.022154611595718077,-0.008278091838576862,-0.043806440960680315,-0.015285762514558932,-0.02944919584699579,-0.003331016411666221
2016-11-30,0.03683845406186559,0.004359248900271284,-0.017813654294459247,-0.044156963348462086,-0.08213744992253713,-0.03167556369756064,-0.08356570639157301,0.016711122840419534
2016-12-31,0.020272091601169162,0.011322390428955442,0.027062517084922355,-0.002526699011428657,-0.004626200829166316,0.008391812637938978,-0.019149882681417818,0.04142015388894049
2017-01-31,0.017894410256930504,0.051401035625207925,0.03291174565084032,0.06655240491874093,0.008142035323503771,0.0014503872935396345,0.05419215772584596,-0.005681924597690902
2017-02-28,0.03929145838098291,0.043750353721417,0.011906795139924764,0.017407764765135836,0.015846586159482756,0.013210289708115885,0.031847686784806095,-0.0019046067949907153
2017-03-31,0.0012502918546550834,0.02026888675943339,0.03231685734955314,0.03685162998140856,-0.006550929903542002,-0.0029507069526977237,-0.00427746474772539,-0.03244282792841979
2017-04-30,0.009926008634695727,0.027270117621702727,0.02424137662190118,0.017009463490743393,0.01573162815668261,0.011888375420794572,0.01726748147982482,-0.026955928432372267
2017-05-31,0.014112851384642022,0.03897354670875175,0.03542343406920412,0.028456953714577793,0.01887869589079516,0.013331438839100818,-0.0012419798017191397,-0.014189175645068053
2017-06-30,0.00637472271662376,-0.02317986075933376,0.002960263133136465,0.009266687645552496,0.007919106221329297,0.0048021520363172865,-0.02155534773928114,-0.009595629914280202
2017-07-31,0.020554359025779956,0.04061340140176539,0.026533739866945627,0.05822665220888146,-0.006583825945598032,0.007654736505408488,0.02313170169958645,0.04083026971259818
2017-08-31,0.0029176592589472694,0.02073594642419052,-0.00044824927131548176,0.023515990871658454,0.03408749612300155,0.006771799059581474,0.04198757511241591,0.0039895621719334695
2017-09-30,0.020149327528137917,-0.0029525509453421916,0.023617313074376423,-0.0004461391034408235,-0.02322905975981704,-0.0004942400766879684,-0.03369891808976022,0.019867423513781235
2017-10-31,0.023563993728043187,0.04606406011327535,0.01679318901367055,0.03280518207136818,-0.0003858545502379851,0.0019267369196571682,-0.007484813689786707,0.03961043598515546
2017-11-30,0.03056622926445085,0.01971731628047335,0.006893383571154876,-0.0038893489809521675,0.007431861208139212,-0.0012330622214120623,0.003563440057186007,0.009369155991064249
2017-12-31,0.01212778026630179,0.006031029840581015,0.013488738583931514,0.03761544537148853,0.018126109056204154,0.012204367395395765,0.021057003170010358,0.027846638926757317
2018-01-31,0.05635919216126961,0.08757065362022587,0.05020631626717442,0.08297971240057667,-0.03255552959325292,-0.012256867008209493,0.03234937283169237,0.029500248525299977
2018-02-28,-0.0363602990728239,-0.012927851067989549,-0.048347900912827924,-0.058984983612876296,-0.030414356115404995,-0.02237221236055098,-0.020759902030566435,-0.029239778812217954
2018-03-31,-0.027410678255401555,-0.040788151074208634,-0.008396437035643523,0.005414524156621026,0.028596354860365603,0.005568022625169533,0.006320007324218668,0.022891557504818083
2018-04-30,0.005168348442851078,0.005058162488006168,0.015212842360680101,-0.0281688824514158,-0.020881374327927915,-0.015659346778240213,-0.009539745360543916,0.034157816468824986
2018-05-31,0.02430907269199878,0.05672924382336508,-0.01894258504719104,-0.026215127650863757,0.02004452270022372,0.005213820964639293,-0.011959209467577336,0.026765464309909115
2018-06-30,0.005750638434470767,0.011450454261239917,-0.01584116781775391,-0.04545651510564819,0.006457827424958262,-0.004873318609302957,-0.03614944763120931,-0.01941209220870488
2018-07-31,0.03704668877399131,0.0279639706110697,0.02852029916884935,0.03531016828246014,-0.01436906206482469,0.013438227415733195,-0.022418909632539674,-0.024321367002224092
2018-08-31,0.03191988693899073,0.05780649413919425,-0.022357808270194623,-0.037672732760629324,0.0131206478434851,0.00019965504579766424,-0.021381117106768266,0.0075361845738430855
2018-09-30,0.005945744811453713,-0.0028158977492345194,0.009652451375493198,-0.00579119976688125,-0.02864305385693411,-0.0014075452617163808,-0.006607347245927042,0.03394711369150505
2018-10-31,-0.06910457650876267,-0.08595725174192737,-0.08133546412805104,-0.08760484970206006,-0.02930560900685697,-0.020492332683253234,0.02119545356837582,-0.05620480957759966
2018-11-30,0.018549263837046803,-0.0026501792629536336,0.004963426769927448,0.04902965153523642,0.017872213011304705,-0.0035851090080348813,0.003386881324189961,-0.09846689760131166
